trace,distribution,bin,count,fraction,threshold,fraction_at_or_above_threshold,variant
454.calculix-104B,confidence,7,0,0.0,8,not_applicable,DirectMappedWAM
454.calculix-104B,confidence,8,0,0.0,8,not_applicable,DirectMappedWAM
454.calculix-104B,confidence,9,0,0.0,8,not_applicable,DirectMappedWAM
454.calculix-104B,confidence,10,0,0.0,8,not_applicable,DirectMappedWAM
454.calculix-104B,confidence,11,0,0.0,8,not_applicable,DirectMappedWAM
454.calculix-104B,confidence,12,0,0.0,8,not_applicable,DirectMappedWAM
454.calculix-104B,confidence,13,0,0.0,8,not_applicable,DirectMappedWAM
454.calculix-104B,confidence,14,0,0.0,8,not_applicable,DirectMappedWAM
454.calculix-104B,confidence,15,0,0.0,8,not_applicable,DirectMappedWAM
454.calculix-104B,confidence,0,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,1,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,2,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,3,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,4,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,5,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,6,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,7,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,8,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,9,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,10,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,11,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,12,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,13,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,14,0,0.0,8,,SetAssociativeWAM
454.calculix-104B,confidence,15,0,0.0,8,,SetAssociativeWAM
465.tonto-44B,confidence,0,12,0.07453416149068323,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,1,146,0.906832298136646,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,2,3,0.018633540372670808,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,3,0,0.0,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,4,0,0.0,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,5,0,0.0,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,6,0,0.0,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,7,0,0.0,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,8,0,0.0,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,9,0,0.0,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,10,0,0.0,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,11,0,0.0,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,12,0,0.0,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,13,0,0.0,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,14,0,0.0,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,15,0,0.0,8,0.0,DirectMappedWAM
465.tonto-44B,confidence,0,12,0.09836065573770492,8,,SetAssociativeWAM
465.tonto-44B,confidence,1,109,0.8934426229508197,8,,SetAssociativeWAM
465.tonto-44B,confidence,2,1,0.00819672131147541,8,,SetAssociativeWAM
465.tonto-44B,confidence,3,0,0.0,8,,SetAssociativeWAM
465.tonto-44B,confidence,4,0,0.0,8,,SetAssociativeWAM
465.tonto-44B,confidence,5,0,0.0,8,,SetAssociativeWAM
465.tonto-44B,confidence,6,0,0.0,8,,SetAssociativeWAM
465.tonto-44B,confidence,7,0,0.0,8,,SetAssociativeWAM
465.tonto-44B,confidence,8,0,0.0,8,,SetAssociativeWAM
465.tonto-44B,confidence,9,0,0.0,8,,SetAssociativeWAM
465.tonto-44B,confidence,10,0,0.0,8,,SetAssociativeWAM
465.tonto-44B,confidence,11,0,0.0,8,,SetAssociativeWAM
465.tonto-44B,confidence,12,0,0.0,8,,SetAssociativeWAM
465.tonto-44B,confidence,13,0,0.0,8,,SetAssociativeWAM
465.tonto-44B,confidence,14,0,0.0,8,,SetAssociativeWAM
465.tonto-44B,confidence,15,0,0.0,8,,SetAssociativeWAM
