workload,selector,granularity,windows,speedup,selected_gmc_fraction,selected_wam_fraction,selector_bytes,lookup_cycles,update_traffic,overhead_cycles,wam_activation_rate,selection_note
quicksort_size65536_seed0_loads,RecentWinnerSelector,100,3,1.0270553032997845,1.0,0.0,192,30,60,30,0.0,block-granular replay
quicksort_size65536_seed1_loads,RecentWinnerSelector,100,3,1.0270553032997845,1.0,0.0,192,30,60,30,0.0,block-granular replay
quicksort_size65536_seed2_loads,RecentWinnerSelector,100,3,1.9665410159755878,1.0,0.0,192,30,60,30,0.0,block-granular replay
quicksort_size65536_seed3_loads,RecentWinnerSelector,100,3,1.4177025110536414,1.0,0.0,192,30,60,30,0.0,block-granular replay
quicksort_size65536_seed4_loads,RecentWinnerSelector,100,3,1.2199836443387109,1.0,0.0,192,30,60,30,0.0,block-granular replay
stride_size524288_seed0_loads,RecentWinnerSelector,100,3,7.210412960014983,1.0,0.0,192,30,60,30,0.0,block-granular replay
binary_tree_size65536_seed0_loads,EntropyAwareSelector,100,3,1.1155275950814985,1.0,0.0,192,30,60,30,0.0,block-granular replay
binary_tree_size65536_seed1_loads,EntropyAwareSelector,100,3,1.1155275950814985,1.0,0.0,192,30,60,30,0.0,block-granular replay
binary_tree_size65536_seed2_loads,EntropyAwareSelector,100,3,1.0246525724423419,1.0,0.0,192,30,60,30,0.0,block-granular replay
binary_tree_size65536_seed3_loads,EntropyAwareSelector,100,3,1.0170315502488216,1.0,0.0,192,30,60,30,0.0,block-granular replay
binary_tree_size65536_seed4_loads,EntropyAwareSelector,100,3,1.0333104534259296,1.0,0.0,192,30,60,30,0.0,block-granular replay
graph_bfs_size65536_seed0_loads,EntropyAwareSelector,100,3,1.2162673507999584,1.0,0.0,192,30,60,30,0.0,block-granular replay
graph_bfs_size65536_seed1_loads,EntropyAwareSelector,100,3,1.2162673507999584,1.0,0.0,192,30,60,30,0.0,block-granular replay
graph_bfs_size65536_seed2_loads,EntropyAwareSelector,100,3,1.2162673507999584,1.0,0.0,192,30,60,30,0.0,block-granular replay
graph_bfs_size65536_seed3_loads,EntropyAwareSelector,100,3,1.2162673507999584,1.0,0.0,192,30,60,30,0.0,block-granular replay
graph_bfs_size65536_seed4_loads,EntropyAwareSelector,100,3,1.2162673507999584,1.0,0.0,192,30,60,30,0.0,block-granular replay
graph_dfs_size16384_seed0_loads,EntropyAwareSelector,100,3,1.0454344868164602,0.0,1.0,192,30,60,30,1.0,block-granular replay
graph_dfs_size16384_seed1_loads,EntropyAwareSelector,100,3,1.0454344868164602,0.0,1.0,192,30,60,30,1.0,block-granular replay
graph_dfs_size16384_seed2_loads,EntropyAwareSelector,100,3,1.0454344868164602,0.0,1.0,192,30,60,30,1.0,block-granular replay
graph_dfs_size16384_seed3_loads,EntropyAwareSelector,100,3,1.0454344868164602,0.0,1.0,192,30,60,30,1.0,block-granular replay
graph_dfs_size16384_seed4_loads,EntropyAwareSelector,100,3,1.0454344868164602,0.0,1.0,192,30,60,30,1.0,block-granular replay
