workload,predictor,budget_bytes,storage_bytes,accuracy,speedup,coverage,within_budget,category,horizon,train_fraction,trace_length,prefetch_precision,late_prefetch_rate,mean_lead_time,mean_slack,cache_pollution,bandwidth_bytes,average_memory_latency,total_cycles,cycles_hidden,predictor_overhead,fraction_of_ideal_gain,prediction_attempts,wrong_predictions
graph_dfs_size16384_seed0_loads,SPP,16384,16384,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,83.656,125484,0,0,0.0,0,0
graph_dfs_size16384_seed0_loads,GMC,16384,16384,0.5,1.0218150726761939,0.022,True,graph,16,0.7,5000,0.5757575757575758,0.0,1707.0526315789473,1557.0526315789473,9,264,81.87,122805,2774,0,4.407703664701655,36,18
graph_dfs_size16384_seed0_loads,HashedContext-H16,32768,32896,0.0008340283569641367,1.0065938297155508,0.41733333333333333,True,graph,16,0.7,5000,0.0463258785942492,0.034482758620689655,2173.5172413793102,2023.5172413793102,112,5008,83.108,124662,4174,0,1.3322736913624005,1199,1198
graph_dfs_size16384_seed0_loads,Markov-N-H16,32768,32768,0.014925373134328358,1.0017722852900321,0.028666666666666667,True,graph,16,0.7,5000,0.13953488372093023,0.16666666666666666,1964.5,1814.5,21,344,83.508,125262,867,0,0.3580876618530005,134,132
graph_dfs_size16384_seed0_loads,VLDP,32768,32768,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,83.656,125484,0,0,0.0,0,0
graph_dfs_size16384_seed0_loads,SPP,32768,32768,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,83.656,125484,0,0,0.0,0,0
graph_dfs_size16384_seed0_loads,GMC,32768,32768,0.5192307692307693,1.033445063949993,0.03266666666666666,True,graph,16,0.7,5000,0.5714285714285714,0.0,1592.0,1442.0,12,392,80.94866666666667,121423,4088,0,6.757526464692278,52,25
graph_dfs_size16384_seed0_loads,HashedContext-H16,65536,65664,0.0,1.0009492282534997,0.33666666666666667,True,graph,16,0.7,5000,0.027722772277227723,0.0,2313.5714285714284,2163.5714285714284,81,4040,83.57666666666667,125365,2044,0,0.19179018624838054,855,855
graph_dfs_size16384_seed0_loads,Markov-N-H16,65536,65536,0.009345794392523364,1.0029893693549676,0.048666666666666664,True,graph,16,0.7,5000,0.1095890410958904,0.125,1976.0,1826.0,36,584,83.40666666666667,125110,1159,0,0.6039977247206926,214,212
graph_dfs_size16384_seed0_loads,VLDP,65536,55488,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,83.656,125484,0,0,0.0,0,0
graph_dfs_size16384_seed0_loads,SPP,65536,55888,0.0,1.0,0.0,True,graph,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,83.656,125484,0,0,0.0,0,0
graph_dfs_size16384_seed0_loads,GMC,65536,65536,0.5333333333333333,1.0501456164429417,0.048,True,graph,16,0.7,5000,0.5694444444444444,0.0,1509.0975609756097,1359.0975609756097,16,576,79.66133333333333,119492,5986,0,10.131848774699604,75,35
hash_table_size65536_seed0_loads,HashedContext-H16,2048,2176,0.0,0.9967920508269968,0.7313333333333333,True,hash,16,0.7,5000,0.0027347310847766638,0.0,3075.3333333333335,2925.3333333333335,6,8776,138.614,207921,438,0,0.0,1484,1484
hash_table_size65536_seed0_loads,Markov-N-H16,2048,2048,0.0,0.9999951750259343,0.0006666666666666666,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,0,8,138.17,207255,0,0,0.0,1,1
hash_table_size65536_seed0_loads,VLDP,2048,2048,0.0,1.0,0.0,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,138.16933333333333,207254,0,0,0.0,0,0
hash_table_size65536_seed0_loads,SPP,2048,2048,0.0,1.0,0.0,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,138.16933333333333,207254,0,0,0.0,0,0
hash_table_size65536_seed0_loads,GMC,2048,2048,0.0,1.0,0.0,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,138.16933333333333,207254,0,0,0.0,0,0
hash_table_size65536_seed0_loads,HashedContext-H16,4096,4224,0.0,0.9947252979318753,0.8246666666666667,True,hash,16,0.7,5000,0.0008084074373484236,0.0,3343.0,3193.0,9,9896,138.902,208353,146,0,0.0,1484,1484
hash_table_size65536_seed0_loads,Markov-N-H16,4096,4096,0.0,0.9999951750259343,0.0006666666666666666,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,0,8,138.17,207255,0,0,0.0,1,1
hash_table_size65536_seed0_loads,VLDP,4096,4096,0.0,1.0,0.0,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,138.16933333333333,207254,0,0,0.0,0,0
hash_table_size65536_seed0_loads,SPP,4096,4096,0.0,1.0,0.0,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,138.16933333333333,207254,0,0,0.0,0,0
hash_table_size65536_seed0_loads,GMC,4096,4096,0.0,1.0,0.0,True,hash,16,0.7,5000,0.0,0.0,0.0,0.0,0,0,138.16933333333333,207254,0,0,0.0,0,0
